Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Total,11.10,72.90,820,Rwanda,Africa
Male,11.10,65.80,0,Rwanda,Africa
Female,11.20,62.60,0,Rwanda,Africa
Total,13.00,74.90,19030,Saint Kitts and Nevis,North America
Male,12.60,76.80,0,Saint Kitts and Nevis,North America
Female,13.30,71.40,0,Saint Kitts and Nevis,North America
Total,13.10,71.80,11020,Saint Lucia,North America
Male,12.80,76.80,0,Saint Lucia,North America
Female,13.50,69.30,0,Saint Lucia,North America
Total,13.50,71.70,7460,Saint Vincent and the Grenadines,North America
Male,13.30,50.20,0,Saint Vincent and the Grenadines,North America
Female,13.70,48.50,0,Saint Vincent and the Grenadines,North America
Total,12.90,67.40,4180,Samoa,Oceania
Male,11.90,84.20,0,Samoa,Oceania
Female,12.70,79.50,0,Samoa,Oceania
Total,10.60,73.90,1960,São Tomé and Principe,Africa
Male,10.60,79.20,0,São Tomé and Principe,Africa
Female,10.50,71.70,0,São Tomé and Principe,Africa
Total,14.30,64.30,22850,Saudi Arabia,Asia
Male,14.60,82.60,0,Saudi Arabia,Asia
Female,13.90,76.10,0,Saudi Arabia,Asia
Total,8.00,74.10,1450,Senegal,Africa
Male,8.10,72.50,0,Senegal,Africa
Female,7.80,69.10,0,Senegal,Africa
Total,13.50,72.90,7020,Serbia,Europe
Male,13.20,55.60,0,Serbia,Europe
Female,13.90,52.40,0,Serbia,Europe
Total,13.40,49.40,16870,Seychelles,Africa
Male,12.80,60.60,0,Seychelles,Africa
Female,13.90,54.90,0,Seychelles,Africa
Total,8.90,81.80,500,Sierra Leone,Africa
Male,9.60,56.00,0,Sierra Leone,Africa
Female,8.40,53.60,0,Sierra Leone,Africa
Total,15.20,75.50,59590,Singapore,Asia
Male,15.10,84.90,0,Singapore,Asia
Female,15.30,78.90,0,Singapore,Asia
Total,15.00,79.40,19320,Slovakia,Europe
Male,14.40,78.90,0,Slovakia,Europe
Female,15.60,72.00,0,Slovakia,Europe
Total,17.10,70.70,25750,Slovenia,Europe
Male,16.30,64.50,0,Slovenia,Europe
Female,17.90,61.00,0,Slovenia,Europe
Total,10.70,57.70,2050,Solomon Islands,Oceania
Male,11.10,83.40,0,Solomon Islands,Oceania
Female,10.20,79.60,0,Solomon Islands,Oceania
Total,12.80,54.80,6040,South Africa,Africa
Male,12.30,84.40,0,South Africa,Africa
Female,13.40,79.90,0,South Africa,Africa
Total,4.90,81.90,0,South Sudan,Africa
Male,6.10,76.80,0,South Sudan,Africa
Female,3.70,68.10,0,South Sudan,Africa
Total,16.80,75.40,30390,Spain,Europe
Male,16.40,71.20,0,Spain,Europe
Female,17.30,66.50,0,Spain,Europe
Total,13.60,62.80,4020,Sri Lanka,Asia
Male,13.40,60.40,0,Sri Lanka,Asia
Female,13.80,56.80,0,Sri Lanka,Asia
Total,7.30,70.50,590,Sudan,Africa
Male,7.60,77.70,0,Sudan,Africa
Female,6.90,70.70,0,Sudan,Africa
Total,12.20,81.50,5540,Suriname,South America
Male,11.70,68.80,0,Suriname,South America
Female,12.70,65.60,0,Suriname,South America
Total,15.90,82.30,55840,Sweden,Europe
Male,15.20,58.10,0,Sweden,Europe
Female,16.70,56.80,0,Sweden,Europe
Total,15.60,72.10,85500,Switzerland,Europe
Male,15.70,72.00,0,Switzerland,Europe
Female,15.50,68.10,0,Switzerland,Europe
Total,11.80,68.70,0,Syrian Arab Republic,Asia
Male,12.00,74.80,0,Syrian Arab Republic,Asia
Female,11.60,69.20,0,Syrian Arab Republic,Asia
Total,11.10,58.60,1030,Tajikistan,Asia
Male,11.90,77.40,0,Tajikistan,Asia
Female,10.20,72.80,0,Tajikistan,Asia
Total,8.80,74.20,1080,Tanzania,Africa
Male,9.10,77.80,0,Tanzania,Africa
Female,8.60,71.20,0,Tanzania,Africa
Total,13.30,67.20,7260,Thailand,Asia
Male,12.80,70.20,0,Thailand,Asia
Female,13.70,63.20,0,Thailand,Asia
Total,12.40,57.50,1890,Timor-Leste,Oceania
Male,12.80,58.70,0,Timor-Leste,Oceania
Female,12.00,55.30,0,Timor-Leste,Oceania
Total,11.50,70.10,690,Togo,Africa
Male,12.40,74.80,0,Togo,Africa
Female,9.20,64.00,0,Togo,Africa
Total,13.20,71.90,4300,Tonga,Oceania
Male,14.10,77.80,0,Tonga,Oceania
Female,14.70,75.60,0,Tonga,Oceania
Total,12.70,75.00,16890,Trinidad and Tobago,North America
Male,12.20,82.30,0,Trinidad and Tobago,North America
Female,13.00,78.30,0,Trinidad and Tobago,North America
Total,14.50,74.50,3360,Tunisia,Africa
Male,14.00,81.10,0,Tunisia,Africa
Female,15.00,76.20,0,Tunisia,Africa
Total,13.80,66.70,9610,Turkey,Asia
Male,14.30,80.40,0,Turkey,Asia
Female,13.40,72.90,0,Turkey,Asia
Total,10.60,57.10,6740,Turkmenistan,Africa
Male,10.90,72.50,0,Turkmenistan,Africa
Female,10.40,66.90,0,Turkmenistan,Africa
Total,11.00,69.40,780,Uganda,Europe
Male,11.70,70.80,0,Uganda,Europe
Female,10.80,67.60,0,Uganda,Europe
